code,Company
IVPB.L,Invesco Perpetual Select Trust plc - Balanced Risk Share Portfolio
IVI.L,Invesco Income Growth Ord
ITV.L,ITV plc
ISAT.L,Inmarsat Plc
IPX.L,Impax Asset Management Group plc
IPU.L,Invesco Perpetual UK Smaller Ord
IPF.L,International Personal Finance Plc
ION1.L,Iona Environmental VCT Ord
IOG.L,Independent Oil and Gas plc
INV.L,The Investment Company plc
INSP.L,Inspirit Energy Holdings Plc
INSE.L,Inspired Energy plc
INLZ.L,Inland ZDP PLC
INFI.L,Infinis Energy plc
INF.L,Informa plc
INDV.L,Indivior PLC
INCH.L,Inchcape plc
IMT.L,Imperial Brands PLC
IMI.L,IMI plc
IMG.L,Imagination Technologies Group plc
IKK.L,Inch Kenneth Kajang Rubber Public Limited Company
III.L,3i Ord
IHG.L,InterContinental Hotels Group PLC
IHC.L,Inspiration Healthcare Group plc
IGG.L,IG Group Holdings plc
IGAS.L,IGas Energy Plc
IFL.L,International Ferro Metals Limited
IEVH.L,Ingenious Entertainment VCT 2 H
IEVD.L,Ingenious Entertainment VCT 2D Ord
IE1G.L,Ingenious Entertainment VCT 1G Ord
IE1F.L,Ingenious Entertainment VCT 1F Ord
IE1D.L,Ingenious Entertainment VCT 1D Ord
IDHC.L,Integrated Diagnostics Holdings plc
ICTB.L,Investors Capital B Share Ord
ICTA.L,Investors Capital A Share Ord
ICP.L,Intermediate Capital Group plc
ICGC.L,Irish Continental Group plc
IBT.L,International Biotechnology Trust plc
IBST.L,Ibstock plc
IBEX.L,IBEX Global Solutions plc
IAT.L,Invesco Asia Trust plc
IAP.L,ICAP plc
IAG.L,"International Consolidated Airlines Group, S.A."
IAE.L,Ithaca Energy Inc.
HZD.L,Horizon Discovery Group plc
HYDR.L,Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro
HWDN.L,Howden Joinery Group Plc
HW.L,Harwood Wealth Management Group Plc
HVT.L,The Heavitree Brewery PLC
HVN.L,Harvey Nash Group plc
HUNT.L,Hunters Property Group Limited
HTY.L,HellermannTyton Group PLC
HTG.L,Hunting plc
HSX.L,Hiscox Ltd
HSW.L,Hostelworld Group Plc
HSV.L,HomeServe plc
HSTN.L,Hansteen Holdings PLC
HSTG.L,Hastings Group Holdings plc
HSS.L,HSS Hire Group plc
HSP.L,Hargreaves Services Plc
HSM.L,Samuel Heath & Sons PLC
HSBA.L,HSBC Holdings plc
HRI.L,Herald Ord
HR1O.L,Hazel Renewable Energy VCT1 Plc
HR1A.L,Hazel Renewable Energy VCT1 Plc
HPAC.L,Hermes Pacific Investments plc
HONY.L,Honeycomb Investment Trust Plc
HON.L,Honeywell International Inc.
HOME.L,Home Retail Group plc
HOC.L,Hochschild Mining PLC
HNL.L,Hague and London Oil PLC
HMSO.L,Hammerson plc
HLMA.L,Halma plc
HLCL.L,Helical plc
HL.L,Hargreaves Lansdown plc
HKLD.L,Hongkong Land Holdings Limited
HHVT.L,Hargreave Hale AIM VCT 2 plc
HHV.L,Hargreave Hale AIM VCT 1 Ord
HHI.L,Henderson High Income Ord
HGM.L,Highland Gold Mining Limited
HGL.L,Henderson Global Trust Ord
HGG.L,Henderson Group plc
HFG.L,Hilton Food Group plc
HFEL.L,Henderson Far East Income Limited
HFD.L,Halfords Group plc
HEAD.L,Headlam Group plc
HDIV.L,Henderson Diversified Income Trust Plc
HCP.L,The Hotel Corporation plc
HAYD.L,Haydale Graphene Industries plc
HAWK.L,Nighthawk Energy plc
HAST.L,Henderson Alternative Strategies Trust
HAS.L,Hays plc
HANA.L,Hansa Trust PLC
HAN.L,Hansa Trust PLC
GYM.L,The Gym Group plc
GWP.L,GW Pharmaceuticals plc
GWMO.L,Great Western Mining Corporation PLC
GWI.L,Globalworth Real Estate Investment Limited
GTS.L,GTS Chemical Holdings plc
GTLY.L,Gateley (Holdings) Plc
GSS.L,Genesis Emerging Markets Fund
GSK.L,GlaxoSmithKline plc
GRTB.L,Guaranty Trust Bank Plc
GRPH.L,Graphene NanoChem plc
GRL.L,Goldstone Resources Limited
GRIT.L,Global Resources IT Ord
GRI.L,Grainger Plc
GPRT.L,"Goldenport Holdings, Inc."
GPOR.L,Great Portland Estates plc
GOOD.L,Good Energy Group PLC
GOG.L,The Go-Ahead Group plc
GOAL.L,Goals Soccer Centres plc
GNS.L,Genus plc
GNK.L,Greene King plc
GNC.L,Greencore Group plc
GMR.L,Gaming Realms plc
GMD.L,GAME Digital plc
GMAA.L,Gama Aviation Plc
GLTD.L,Global Telecom Holding S.A.E.
GLS.L,Galasys plc
GLOO.L,Gloo Networks Plc
GLIF.L,GLI Finance Limited
GLEN.L,Glencore Plc
GLE.L,MJ Gleeson PLC
GLAF.L,GLI Alternative Finance Ord
GKP.L,Gulf Keystone Petroleum Limited
GKN.L,GKN plc
GHS.L,Gresham House Strategic plc
GHH.L,Gooch & Housego plc
GHG.L,Georgia Healthcare Group PLC
GFTU.L,Grafton Group plc
GFS.L,G4S plc
GFRD.L,Galliford Try plc
GFM.L,Griffin Mining Limited
GENL.L,Genel Energy plc
GEMD.L,Gem Diamonds Limited
GEL.L,Greka Engineering & Technology Ltd.
GEEC.L,Great Eastern Energy Corporation Limited
GED.L,Nautilus Marine Services PLC
GEC.L,General Electric Company
GDL.L,Greka Drilling Limited
GDG.L,Green Dragon Gas Limited
GCLA.L,Grupo Clarín S.A.
GAZ.L,PJSC Gazprom Neft
GAW.L,Games Workshop Group PLC
GAMA.L,Gamma Communications plc
GAL.L,Galantas Gold Corporation
GACB.L,General Accident Plc
GACA.L,General Accident Plc
FXPO.L,Ferrexpo Plc
FXI.L,Fusionex International Plc
FTSV.L,Foresight Solar & Infrastructure VCT plc
FTE.L,Forte Energy NL
FTD.L,Foresight 3 VCT Plc
FSV.L,Fidelity Investment Trust - Fidelity Special Values PLC
FSJ.L,James Fisher and Sons plc
FRX.L,Keras Resources Plc
FRR.L,Frontera Resources Corporation
FRES.L,Fresnillo PLC
FQM.L,First Quantum Minerals Ltd.
FPM.L,Faroe Petroleum plc
FPEO.L,F&C Private Equity Trust plc
FP.L,Fondul Proprietatea SA
FOXT.L,Foxtons Group PLC
FOUR.L,4imprint Group plc
FOGL.L,Falkland Oil and Gas Ltd.
FOG.L,Falcon Oil & Gas Ltd.
FMPI.L,F&C Managed Portfolio Trust plc - Income Shares
FMPG.L,F&C Managed Portfolio Trust plc - Growth Portfolio
FLYB.L,Flybe Group PLC
FLX.L,Falanx Group Limited
FLK.L,Fletcher King Plc
FJVS.L,Fidelity Japanese Values PLC
FJV.L,Fidelity Japanese Values Ord
FIVE.L,X5 Retail Group N.V.
FISH.L,Fishing Republic plc
FGT.L,Finsbury Growth & Income Ord
FGP.L,Firstgroup plc
FFY.L,Fyffes plc
FEVR.L,Fevertree Drinks Plc
FEV.L,Fidelity Investment Trust - Fidelity European Values plc
FETD.L,Far Eastern New Century Corporation
FEET.L,Fundsmith Emerging Equities Trust
FEC.L,"Far EasTone Telecommunications Co., Ltd."
FDSA.L,Fidessa group plc
FDI.L,Firestone Diamonds plc
FDEV.L,Frontier Developments Plc
FCS.L,F&C Global Smaller Companies PLC
FCRM.L,Fulcrum Utility Services Limited
FCR.L,Ferrum Crescent Limited
FCPT.L,F&C Commercial Property Trust Limited
FCIF.L,Funding Circle SME Income Fund Limited
FCI.L,F&C Capital and Income Investment Trust PLC
FBT.L,Forbidden Technologies plc
FAST.L,Amryt Pharma plc
FAS.L,Fidelity Asian Values Ord
FAN.L,Volution Group plc
FAL.L,Falcon Media House Limited
FAIC.L,FAIR OAKS INCOME LIMITED C SHS
EZJ.L,easyJet plc
EZH.L,easyHotel plc
EYE.L,Eagle Eye Solutions Group PLC
EXPN.L,Experian plc
EXI.L,Exillon Energy plc
EWI.L,Edinburgh Worldwide Ord
EVR.L,EVRAZ plc
ETQ.L,Energy Technique plc
ETO.L,Entertainment One Ltd.
ETI.L,Ei Group plc
ESUR.L,esure Group plc
ESR.L,Ensor Holdings plc
ESP.L,Empiric Student Property Ord
ESO.L,EPE Special Opportunities plc
ESNT.L,Essentra plc
ESG.L,eServGlobal Limited
ERM.L,Euromoney Institutional Investor PLC
ERGO.L,Ergomed plc
ERET.L,European Real Estate Investment Trust Limited
EQN.L,Equiniti Group plc
EPWN.L,Epwin Group PLC
EPO.L,Earthport plc
EPIC.L,Ediston Property Investment Company
EPIA.L,EPISTAR CORPORATION GDR (EACH R
EPG.L,EP Global Opportunities Trust plc
EOG.L,Europa Oil & Gas (Holdings) plc
ENTU.L,entu (UK) plc
ENQ.L,EnQuest PLC
ENDV.L,Endeavour International Corporation
EMR.L,Empresaria Group plc
EMM.L,Emerging Market Minerals plc
EMIS.L,EMIS Group plc
EMH.L,European Metals Holdings Limited
EMG.L,Man Group plc
EME.L,Empyrean Energy Plc
EMAN.L,Everyman Media Group plc
ELX.L,El Oro Ltd
ELTZ.L,Electra Private Equity (Spl) ZDP 2016
ELTA.L,Electra Private Equity Ord/Inc
ELSA.L,Societatea Energetica Electrica S.A.
ELM.L,Elementis plc
ELLA.L,Ecclesiastical Insurance Office plc
ELE.L,Electric Word plc
ELCO.L,Elecosoft plc
ELA.L,Eland Oil & Gas PLC
EKT.L,Elektron Technology plc
EKF.L,EKF Diagnostics Holdings plc
EIH.L,EIH plc
EHP.L,Genedrive plc
EHG.L,Elegant Hotels Group Plc
EGS.L,eg solutions plc
EGMD.L,Evergreen Marine Corporation (Taiwan) Ltd
EGI.L,Electrical Geodesics Incorporated
EFM.L,Edinburgh Dragon Ord
EFID.L,Edita Food Industries Company (S.A.E)
EFGD.L,EFG Hermes Holding S.A.E.
EEP.L,Eastern European Property Fund
EDV.L,Elderstreet VCT plc
EDR.L,Egdon Resources plc
EDP.L,Electronic Data Processing plc
EDL.L,Edenville Energy Plc
EDIN.L,Edinburgh Investment Ord
EDGI.L,Edge Performance VCT Public Limited Company
EDGH.L,Edge Performance VCT Public Limited Company
EDGG.L,Edge Performance VCT 'G' Ord
EDGF.L,Edge Performance VCT 'F' Ord
EDGE.L,Edge Performance VCT 'E' Ord
EDGD.L,Edge Performance VCT 'D' Ord
EDGC.L,Edge Performance VCT 'C' Ord
EDG.L,Edge Resources Inc.
EDEN.L,Eden Research PLC
ECWZ.L,Ecofin Water & Power Opps ZDP 2016
ECWO.L,Ecofin Water & Power Opps Ord/Inc
ECV.L,Tax Systems plc
ECR.L,ECR Minerals plc
ECM.L,Electrocomponents plc
ECK.L,Eckoh Plc
ECEL.L,Eurocell plc
ECAP.L,ECAP.L
EBQ.L,Ebiquity plc
EBIV.L,Eastbridge Investments Plc
EAT.L,European Assets Trust NV
EAS.L,Energy Assets Group Plc
EAH.L,ECO Animal Health Group plc
DX.L,DX (Group) plc
DWHT.L,Dewhurst plc
DWHA.L,Dewhurst plc
DVWA.L,Dee Valley Group plc
DVW.L,Dee Valley Group plc
DVT.L,daVictus plc
DVO.L,Devro plc
DUPD.L,Dragon Ukrainian Properties & Development plc
DUKE.L,Duke Royalty Limited
DTY.L,Dignity plc
DTG.L,Dart Group plc
DTC.L,Datatec Limited
DSG.L,Dillistone Group Plc
DRX.L,Drax Group plc
DRV.L,Driver Group plc
DRTY.L,Darty plc
DRS.L,DRS Data & Research Services plc
DRIP.L,Drum Income Plus REIT Plc
DRG.L,Draganfly Investments Limited
DREF.L,Duet Real Estate Finance Limited
DQE.L,DQ Entertainment Plc
DPP.L,DP Poland PLC
DPLM.L,Diploma PLC
DPH.L,Dechra Pharmaceuticals plc
DPA.L,DP Aircraft I Limited
DP3J.L,Downing THREE VCT plc
DP3H.L,Downing Three VCT 'H' Ord
DP3F.L,Downing Three VCT 'F' Ord
DP3E.L,Downing THREE VCT plc
DP3D.L,Downing Three VCT 'D' Ord
DP3C.L,Downing THREE VCT plc
DP3A.L,Downing THREE VCT plc
DP2K.L,Downing Two VCT 'K' Ord
DP2G.L,Downing Two VCT 'G' Ord
DP2F.L,Downing Two VCT 'F' Ord
DP2E.L,Downing Two VCT Plc
DP2D.L,Downing Two VCT 'D' Ord
DP2C.L,Downing Two VCT Plc
DP2A.L,Downing Two VCT Plc
DOTD.L,dotDigital Group Plc
DOM.L,Domino's Pizza Group plc
DODS.L,Dods Group PLC
DO1O.L,Downing Four VCT DSO 1
DO1D.L,Downing FOUR VCT plc
DO1C.L,Downing FOUR VCT plc
DO1B.L,Downing FOUR VCT plc
DO1A.L,Downing FOUR VCT plc
DNLM.L,Dunelm Group plc
DNL.L,Diurnal Limited
DNE.L,Dunedin Enterprise Ord
DNDL.L,Dunedin Smaller Companies Ord
DNA3.L,Doric Nimrod Air 3 Ltd.
DNA2.L,Doric Nimrod Air Two Limited
DNA.L,Doric Nimrod Air One Limited
DMGT.L,Daily Mail and General Trust plc
DLN.L,Derwent London plc
DLG.L,Direct Line Insurance Group PLC
DLAR.L,De La Rue plc
DKL.L,DekelOil Public Limited
DJI.L,BNN Technology plc
DJAN.L,Daejan Holdings Plc
DIVI.L,Diverse Income Trust Ord
DIS.L,Distil plc
DIGS.L,GCP Student Living Ord
DIG.L,Dunedin Income Growth Ord
DIA.L,Dialight plc
DGS.L,Digital Globe Services Inc.
DGED.L,Diageo plc
DGE.L,Diageo plc
DGB.L,Digital Barriers plc
DFX.L,Defenx Plc
DFS.L,DFS Furniture plc
DFIB.L,Dairy Farm International Holdings Limited
DEMG.L,Deltex Medical Group plc
DEB.L,Debenhams plc
DDV1.L,Downing ONE VCT
DDDD.L,4D pharma plc
DDD.L,DDD Group plc
DCP.L,Diamondcorp Plc
DCI.L,Dolphin Capital Investors Limited
DCG.L,Dairy Crest Group plc
DCD.L,DCD Media Plc
DCC.L,DCC plc
DC.L,Dixons Carphone plc
DATA.L,GlobalData Plc
DAN.L,Daniel Stewart Securities plc
DALR.L,Dalradian Resources Inc.
DAL.L,Dalata Hotel Group plc
DAIP.L,SysGroup plc
DAB.L,Dexion Absolute Limited
D4SO.L,Downing Four VCT Dp2011 Str Ords
D4SA.L,Downing Four VCT Dp2011 Str A Shs
D4OO.L,Downing FOUR VCT plc
D4OA.L,Downing FOUR VCT plc
D4LC.L,Downing Four VCT Dp2011 Low Carb
D467.L,Downing FOUR VCT plc
CZB.L,Commerzbank AG
CZA.L,Coal of Africa Limited
CYS.L,Chrysalis VCT Ord
CYN.L,City Natural Resources High Yield Trust plc
CYBG.L,CYBG PLC
CYAN.L,CyanConnode Holdings Plc
CWR.L,Ceres Power Holdings plc
CWK.L,Cranswick plc
CWD.L,Countrywide plc
CWC.L,Cable & Wireless Communications Plc
CVSG.L,CVS Group plc
CVR.L,Conviviality Plc
CTYA.L,The City of London Investment Trust plc
CTY.L,The City of London Investment Trust plc
CTR.L,Charles Taylor plc
CTP.L,Castleton Technology plc
CTO.L,TClarke plc
CTI.L,Cathay International Holdings Limited
CTH.L,CareTech Holdings PLC
CTG.L,Christie Group plc
CTAG.L,CloudTag Inc.
CSSG.L,Croma Security Solutions Group PLC
CSRT.L,Consort Medical plc
CSP.L,Countryside Properties PLC
CSN.L,Chesnara plc
CSI.L,CORETX HOLDINGS PLC ORD 2.5P
CSG.L,Sweett Group plc
CSFG.L,CSF Group plc
CRX.L,Cyprotex plc
CRWN.L,Crown Place VCT Ord
CRW.L,Craneware plc
CRV.L,Craven House Capital Plc
CRU.L,Coral Products plc
CRST.L,Crest Nicholson Holdings plc
CRS.L,Crystal Amber Fund Limited
CRPR.L,James Cropper PLC
CROS.L,Crossrider Plc
CRON.L,Cronin Group Plc
CRND.L,Central Rand Gold Limited
CRN.L,Cairn Homes plc
CRL.L,Creightons plc
CRH.L,CRH plc
CREI.L,Custodian REIT Plc
CRE.L,Creston plc
CRDA.L,Croda International plc
CRC.L,Circle Property PLC
CRAW.L,Crawshaw Group plc
CPX.L,Cap-XX Limited
CPS.L,CPL Resources plc
CPR.L,Carpetright plc
CPP.L,CPPGroup Plc
CPI.L,Capita plc
CPG.L,Compass Group PLC
COP.L,Circle Oil plc
COMS.L,RedstoneConnect Plc
COG.L,Cambridge Cognition Holdings Plc
COD.L,Compagnie de Saint-Gobain S.A.
COB.L,Cobham plc
CNSD.L,China Steel Corporation
CNS.L,Corero Network Security plc
CNR.L,Condor Gold PLC
CNN.L,Caledonian Trust plc
CNMI.L,Camper & Nicholsons Marina Investment Ltd
CNKS.L,Cenkos Securities plc
CNIC.L,CentralNic Group Plc
CNG.L,China Nonferrous Gold Limited
CNEL.L,China New Energy Limited
CNE.L,Cairn Energy plc
CNC.L,Concurrent Technologies plc
CNA.L,Centrica plc
CMX.L,Catalyst Media Group Plc
CMS.L,Communisis plc
CML.L,CML Microsystems plc
CMIP.L,Capital Management and Investment plc
CMH.L,Chamberlin plc
CMCX.L,CMC Markets Plc
CMCL.L,Caledonia Mining Corporation Plc
CMBN.L,Cambian Group plc
CMB.L,Cambria Africa plc
CLTV.L,Cellcast plc
CLSU.L,"ClearStar, Inc."
CLST.L,"ClearStar, Inc."
CLP.L,Clear Leisure plc
CLON.L,Clontarf Energy plc
CLNR.L,Cluff Natural Resources Plc
CLLN.L,Carillion plc
CLL.L,Cello Group Plc
CLIN.L,Clinigen Group Plc
CLIG.L,City of London Investment Group PLC
CLI.L,CLS Holdings plc
CLG.L,Clipper Logistics plc
CLDN.L,Caledonia Investments Ord
CLCD.L,Calculus VCT 'D' Ord
CLCC.L,Calculus VCT plc
CLC.L,Calculus VCT 'D' Ord
CKN.L,Clarkson PLC
CIU.L,Cape plc
CITY.L,CityFibre Infrastructure Holdings Plc
CIRC.L,Circle Holdings plc
CIR.L,Circassia Pharmaceuticals Plc
CINE.L,Cineworld Group plc
CIN.L,City of London Group plc
CIHL.L,Caribbean Investment Holdings Limited
CIFU.L,Carador Income Fund USD Ord
CICZ.L,CONYGAR ZDP PLC ZDP SHS 1P
CICG.L,CIC Gold Group Limited
CIC.L,The Conygar Investment Company PLC
CHZN.L,Public Joint-Stock Company Chelyabinsk Zinc Plant
CHT.L,"Constellation Healthcare Technologies, Inc."
CHRT.L,Cohort PLC
CHOO.L,Jimmy Choo PLC
CHOC.L,United Cacao Limited SEZC
CHH.L,Churchill China plc
CHGN.L,Chemring Group plc
CHG.L,Chemring Group plc
CHE.L,Public Joint Stock Company Cherkizovo Group
CHAR.L,Chariot Oil & Gas Limited
CHAL.L,Challenger Acquisitions Limited
CHA.L,Concha plc
CGW.L,Chelverton Growth Trust Ord
CGVD.L,CG Power and Industrial Solutions Limited
CGT.L,Capital Gearing Ord
CGS.L,Castings P.L.C.
CGP.L,Cogenpower plc
CGNR.L,Conroy Gold and Natural Resources plc
CGLO.L,Chagala Group Limited
CGI.L,"Canadian General Investments, Limited"
CGH.L,Chaarat Gold Holdings Limited
CFYN.L,Caffyns plc
CFX.L,Colefax Group plc
CFHS.L,"Cathay Financial Holding Co., Ltd."
CFHL.L,CityFibre Infrastructure Holdings Plc
CF.L,Canaccord Genuity Group Inc.
CEY.L,Centamin Plc
CER.L,Cerillion PLC
CEPS.L,CEPS plc
CEIR.L,"Compal Electronics, Inc."
CEIA.L,COMPAL ELECTRONICS INC GDS (EAC
CDOG.L,CDialogues plc
CDI.L,Candover Investments Ord
CDFF.L,The Cardiff Property Public Limited Company
CCT.L,The Character Group plc
CCR.L,C&C Group plc
CCPG.L,CVC Credit Partners European Opportunities Limited
CCPE.L,CVC Credit Partners European Opportunities Limited
CCPC.L,Celtic plc
CCPA.L,Celtic plc
CCP.L,Celtic plc
CCL.L,Carnival plc
CCJI.L,CC Japan Income & Growth Ord
CCH.L,Coca-Cola HBC AG
CCDS.L,Nationwide Building Society
CCC.L,Computacenter plc
CCAP.L,Charlemagne Capital Limited
CBUY.L,CloudBuy plc
CBQS.L,The Commercial Bank (P.S.Q.C.)
CBP.L,Curtis Banks Group plc
CBKD.L,Commercial International Bank (Egypt) S.A.E.
CBG.L,Close Brothers Group plc
CAZA.L,"Caza Oil & Gas, Inc."
CAY.L,Charles Stanley Group plc
CAU.L,Centaur Media plc
CATC.L,CATCO REINSURANCE OPPORTUNITIES
CAT.L,CATCo Reinsurance Opportunities Fund Ltd.
CARR.L,Carr's Group plc
CARD.L,Card Factory PLC
CAR.L,Carclo plc
CAPD.L,Capital Drilling Limited
CAPC.L,Capital & Counties Properties PLC
CAML.L,Central Asia Metals Plc
CAMB.L,Cambria Automobiles plc
CAM.L,Camellia PLC
CAL.L,Capital & Regional plc
CAKE.L,Patisserie Holdings plc
CAF.L,China Africa Resources plc
CAD.L,Cadogan Petroleum PLC
C4XD.L,C4X Discovery Holdings plc
C21.L,21st Century Technology plc
BZT.L,Bezant Resources plc
BZM.L,Bellzone Mining plc
BYOT.L,Byotrol plc
BYG.L,Big Yellow Group plc
BXP.L,Beximco Pharmaceuticals Limited
BWY.L,Bellway p.l.c.
BWSA.L,Bristol & West plc
BWRA.L,Bristol Water Holdings UK Limited
BWO.L,Barloworld Limited
BWNG.L,N Brown Group plc
BVXP.L,Bioventix PLC
BVT.L,Baronsmead Venture Trust Ord
BVS.L,Bovis Homes Group PLC
BVM.L,Touchstar plc
BVIC.L,Britvic Plc
BVC.L,BATM Advanced Communications Ltd.
BVA.L,"Banco Bilbao Vizcaya Argentaria, S.A."
BUT.L,Brunner Ord
BUR.L,Burford Capital Limited
BTG.L,BTG plc
BTEM.L,British Empire Ord
BT-A.L,BT Group plc
BSV.L,British Smaller Companies VCT Ord
BSIF.L,Bluefield Solar Income Fund Ltd.
BSET.L,BlackRock Income Strategies Trust plc
BSE.L,Base Resources Limited
BSD.L,B.S.D. Crown Ltd.
BSC.L,British Smaller Companies VCT2 Ord
BRY.L,Brady plc
BRWM.L,BlackRock World Mining Trust plc
BRW.L,Brewin Dolphin Holdings plc
BRSN.L,Berendsen plc
BRSC.L,BlackRock Smaller Companies Ord
BRNA.L,BlackRock North American Ord
BRLA.L,BlackRock Latin American Ord
BRK.L,Brooks Macdonald Group plc
BRIG.L,BlackRock Income and Growth Investment Trust plc
BRGS.L,BRGS.L
BRGE.L,BlackRock Greater Europe Ord
BRFC.L,BRFC.L
BREE.L,Breedon Group plc
BRD.L,BlueRock Diamonds PLC
BRCI.L,BlackRock Commodities Income Ord
BRBY.L,Burberry Group plc
BRAM.L,Brammer plc
BQE.L,Bioquell plc
BQAD.L,Bank Audi S.A.L.
BQ30.L,LEBANESE COMPANY FOR THE DEVELO
BPTY.L,bwin.party digital entertainment plc
BPM.L,B.P.Marsh & Partners Ord
BPKD.L,Bank Pekao S.A.
BPI.L,British Polythene Industries plc
BPFU.L,BLUE PLANET FINANCIALS GROWTH A
BPC.L,Bahamas Petroleum Company plc
BP.L,BP p.l.c.
BP-B.L,BP PLC 9% CUM 2ND PRF #1
BP-A.L,BP PLC 8% CUM 1ST PRF #1
BOY.L,Bodycote plc
BOX.L,Boxhill Technologies Plc
BOTB.L,Best of the Best Plc
BOR.L,Borders & Southern Petroleum plc
BOOM.L,Audioboom Group plc
BOO.L,boohoo.com plc
BON.L,Bonmarché Holdings plc
BOL.L,BOL.L
BOK.L,Booker Group PLC
BOIL.L,Baron Oil Plc
BOE.L,The Boeing Company
BODD.L,Banco de Chile
BOD.L,Botswana Diamonds PLC
BNZL.L,Bunzl plc
BNS.L,Baronsmead VCT 4 Ord
BNR.L,Blenheim Natural Resources plc
BNKR.L,Bankers Ord
BNK.L,Bankers Petroleum Ltd.
BNC.L,"Banco Santander, S.A."
BMY.L,Bloomsbury Publishing plc
BMTO.L,T.F. & J.H. Braime (Holdings) P.L.C.
BMT.L,T.F. & J.H. Braime (Holdings) P.L.C.
BMS.L,Braemar Shipping Services plc
BMR.L,BMR Group plc
BMN.L,Bushveld Minerals Limited
BMK.L,Benchmark Holdings plc
BME.L,B&M European Value Retail S.A.
BMD.L,Baronsmead Second Venture Trust Ord
BLVN.L,BowLeven plc
BLV.L,Belvoir Lettings Plc
BLUR.L,blur Group plc
BLU.L,Blue Star Capital plc
BLT.L,BHP Billiton plc
BLP.L,Blue Planet Investment Trust
BLNX.L,RhythmOne plc
BLND.L,The British Land Company PLC
BLEY.L,C.H. Bailey plc
BLBD.L,BLOM Bank SAL
BKY.L,Berkeley Energia Limited
BKMA.L,BANKMUSCAT (S.A.O.G.) GDR (EACH
BKM.L,Bank muscat SAOG
BKIR.L,The Governor and Company of the Bank of Ireland
BKIC.L,Bank Of Ireland Group plc
BKG.L,The Berkeley Group Holdings plc
BJU.L,System1 Group PLC
BISI.L,Bisichi Mining Plc
BIOM.L,Biome Technologies plc
BIOG.L,The Biotech Growth Trust PLC
BILN.L,Billington Holdings Plc
BILL.L,Billing Services Group Limited
BILB.L,Bilby Plc
BHY.L,Henry Boot PLC
BHRD.L,Be Heard Group plc
BHMU.L,BH Macro Limited
BHMG.L,BH Macro Limited
BHME.L,BH Macro Limited
BHGU.L,BH Global Limited
BHGG.L,BH Global Limited
BGS.L,Baillie Gifford Shin Nippon Ord
BGO.L,Bango PLC
BGLF.L,Blackstone/GSO Loan Financing Ltd
BGFD.L,The Baillie Gifford Japan Trust PLC
BGEO.L,BGEO Group plc
BG.L,BG Group plc
BFA.L,BASF SE
BEZ.L,Beazley plc
BET.L,Betfair Group PLC
BEM.L,Beowulf Mining plc
BEG.L,Begbies Traynor Group plc
BEE.L,Baring Emerging Europe PLC
BDV.L,Baronsmead VCT Ord
BDI.L,Bond International Software plc
BDEV.L,Barratt Developments plc
BD82.L,Henry Boot PLC
BD70.L,LOW & BONAR PLC 6% 2ND CUM PRF
BD45.L,LEWIS (JOHN) PARTNERSHIP PLC 5%
BD32.L,LEWIS (JOHN) PARTNERSHIP PLC 7
BD15.L,Tate & Lyle plc
BCRE.L,BCRE-Brack Capital Real Estate Investments N.V.
BCN.L,Bacanora Minerals Ltd.
BCGR.L,Blue Capital Global Reinsurance Fund Limited
BCB.L,Caribbean Investment Holdings Limited
BCA.L,BCA Marketplace plc
BC94.L,"Samsung Electronics Co., Ltd."
BC88.L,Chemring Group plc
BC32.L,JOHN LEWIS PLC 7% CUM PRF STK #
BBYB.L,Balfour Beatty plc
BBY.L,Balfour Beatty plc
BBOX.L,Tritax Big Box
BBA.L,BBA Aviation plc
BB90.L,BB90.L
BB39.L,HENDERSON GLOBAL TRUST PLC 3.75
BAV.L,Baronsmead VCT 5 Ord
BAUD.L,Bajaj Holdings & Investment Limited
BATS.L,British American Tobacco p.l.c.
BARC.L,Barclays PLC
BAR.L,The Brighton Pier Group PLC
BAG.L,A.G. BARR p.l.c.
BAF.L,British & American Ord
BAC.L,Bank of America Corporation
BABU.L,BlueCrest AllBlue Fund Limited
BABS.L,BlueCrest AllBlue Fund Limited
BAB.L,Babcock International Group plc
BA69.L,The City of London Investment Trust plc
BA29.L,MORGAN ADVANCED MATERIALS PLC 5
BA.L,BAE Systems plc
B8F.L,Biofrontera AG
AZN.L,AstraZeneca PLC
AYM.L,Anglesey Mining plc
AXS.L,Accsys Technologies Plc
AXM.L,Alexander Mining plc
AXI.L,Axiom European Financial Debt Limited
AXBA.L,AXIS Bank Limited
AXB.L,Axis Bank Limited
AVV.L,AVEVA Group plc
AVS.L,Avesco Group plc
AVR.L,Avarae Global Coins Plc
AVP.L,EVR Holdings plc
AVON.L,Avon Rubber p.l.c.
AVO.L,Advanced Oncotherapy PLC
AVN.L,Avanti Communications Group PLC
AVM.L,Avocet Mining plc
AVGR.L,AvangardCo Investments Public Limited
AVG.L,Avingtrans plc
AVCT.L,Avacta Group Plc
AVAP.L,Avation PLC
AVA.L,Avanti Capital plc
AV.L,Aviva plc
AV-B.L,AVIVA PLC 8 3/8% CUM IRRD PRF #
AV-A.L,AVIVA PLC 8 3/4% CUM IRRD PRF #
AUTO.L,Auto Trader Group plc
AUKT.L,Aberdeen UK Tracker Ord
AUK.L,Aukett Swanke Group Plc
AUG.L,Augean plc
AUE.L,Avesoro Resources Inc.
